reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.01,55
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.025,64
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.05,73
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.1,85
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.15,94
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.2,102
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.25,109
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.3,116
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.35,123
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.4,130
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.45,137
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.5,144
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.55,152
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.6,160
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.65,169
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.7,179
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.75,191
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.8,204
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.85,221
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.9,245
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.95,284
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.975,324
2/14/2026,wk inc flu hosp,0,2/14/2026,45,quantile,0.99,377
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.01,35
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.025,41
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.05,47
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.1,55
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.15,61
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.2,66
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.25,70
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.3,75
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.35,80
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.4,84
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.45,89
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.5,93
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.55,98
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.6,104
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.65,109
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.7,116
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.75,123
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.8,132
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.85,143
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.9,159
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.95,184
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.975,210
2/14/2026,wk inc flu hosp,1,2/21/2026,45,quantile,0.99,244
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.01,25
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.025,29
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.05,33
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.1,38
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.15,43
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.2,46
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.25,50
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.3,53
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.35,56
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.4,59
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.45,62
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.5,66
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.55,69
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.6,73
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.65,77
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.7,82
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.75,87
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.8,93
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.85,101
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.9,112
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.95,130
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.975,148
2/14/2026,wk inc flu hosp,2,2/28/2026,45,quantile,0.99,172
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.01,21
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.025,25
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.05,28
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.1,33
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.15,37
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.2,40
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.25,43
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.3,46
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.35,48
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.4,51
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.45,54
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.5,57
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.55,60
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.6,63
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.65,67
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.7,71
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.75,75
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.8,81
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.85,87
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.9,97
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.95,112
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.975,128
2/14/2026,wk inc flu hosp,3,3/7/2026,45,quantile,0.99,149
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.01,8993
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.025,9486
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.05,9932
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.1,10473
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.15,10854
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.2,11167
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.25,11442
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.3,11695
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.35,11935
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.4,12167
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.45,12395
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.5,12625
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.55,12858
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.6,13100
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.65,13354
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.7,13628
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.75,13929
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.8,14273
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.85,14684
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.9,15219
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.95,16047
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.975,16801
2/14/2026,wk inc flu hosp,0,2/14/2026,US,quantile,0.99,17723
2/14/2026,wk inc flu hosp,1,2/21/2026,US,quantile,0.01,7319
2/14/2026,wk inc flu hosp,1,2/21/2026,US,quantile,0.025,7720
2/14/2026,wk inc flu hosp,1,2/21/2026,US,quantile,0.05,8083
2/14/2026,wk inc flu hosp,1,2/21/2026,US,quantile,0.1,8523
