"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.01,2
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.025,3
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.05,3
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.1,4
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.15,4
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.2,5
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.25,5
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.3,6
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.35,6
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.4,7
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.45,7
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.5,7
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.55,8
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.6,8
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.65,9
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.7,10
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.75,10
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.8,11
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.85,12
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.9,13
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.95,16
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.975,18
2026-05-23,"wk inc flu hosp",0,2026-05-23,"45","quantile",0.99,21
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.01,3
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.025,3
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.05,4
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.1,5
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.15,5
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.2,6
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.25,6
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.3,7
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.35,7
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.4,8
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.45,8
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.5,9
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.55,9
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.6,10
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.65,10
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.7,11
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.75,12
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.8,13
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.85,14
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.9,16
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.95,18
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.975,21
2026-05-23,"wk inc flu hosp",1,2026-05-30,"45","quantile",0.99,25
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.01,836
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.025,882
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.05,923
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.1,973
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.15,1008
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.2,1036
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.25,1062
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.3,1085
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.35,1107
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.4,1128
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.45,1149
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.5,1170
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.55,1192
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.6,1214
2026-05-23,"wk inc flu hosp",0,2026-05-23,"US","quantile",0.65,1237
