reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.01,7
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.025,9
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.05,11
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.1,14
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.15,17
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.2,18
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.25,20
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.3,22
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.35,24
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.4,25
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.45,27
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.5,29
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.55,31
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.6,33
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.65,35
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.7,38
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.75,39
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.8,42
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.85,45
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.9,49
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.95,56
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.975,63
2025-11-22,01,0,wk inc flu hosp,2025-11-22,quantile,0.99,77
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.01,7
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.025,10
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.05,12
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.1,15
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.15,18
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.2,21
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.25,23
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.3,25
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.35,27
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.4,28
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.45,31
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.5,34
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.55,37
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.6,39
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.65,42
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.7,45
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.75,48
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.8,52
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.85,57
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.9,64
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.95,78
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.975,90
2025-11-22,01,1,wk inc flu hosp,2025-11-29,quantile,0.99,111
2025-11-22,01,2,wk inc flu hosp,2025-12-06,quantile,0.01,7
2025-11-22,01,2,wk inc flu hosp,2025-12-06,quantile,0.025,9
2025-11-22,01,2,wk inc flu hosp,2025-12-06,quantile,0.05,13
2025-11-22,01,2,wk inc flu hosp,2025-12-06,quantile,0.1,16
2025-11-22,01,2,wk inc flu hosp,2025-12-06,quantile,0.15,18
2025-11-22,01,2,wk inc flu hosp,2025-12-06,quantile,0.2,22
2025-11-22,01,2,wk inc flu hosp,2025-12-06,quantile,0.25,25
