"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.01,4
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.025,5
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.05,6
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.1,8
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.15,9
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.2,11
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.25,12
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.3,13
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.35,15
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.4,15
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.45,16
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.5,18
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.55,19
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.6,19
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.65,20
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.7,23
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.75,24
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.8,26
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.85,29
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.9,32
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.95,38
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.975,43
2026-05-23,"01",0,"wk inc flu hosp",2026-05-23,"quantile",0.99,52
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.01,2
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.025,3
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.05,4
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.1,6
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.15,8
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.2,9
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.25,10
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.3,11
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.35,12
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.4,14
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.45,15
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.5,17
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.55,18
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.6,18
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.65,20
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.7,22
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.75,24
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.8,26
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.85,29
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.9,34
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.95,41
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.975,47
2026-05-23,"01",1,"wk inc flu hosp",2026-05-30,"quantile",0.99,55
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.01,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.025,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.05,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.1,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.15,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.2,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.25,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.3,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.35,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.4,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.45,0
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.5,1
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.55,1
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.6,1
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.65,2
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.7,2
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.75,2
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.8,3
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.85,4
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.9,4
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.95,6
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.975,7
2026-05-23,"02",0,"wk inc flu hosp",2026-05-23,"quantile",0.99,8
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.01,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.025,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.05,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.1,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.15,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.2,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.25,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.3,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.35,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.4,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.45,0
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.5,1
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.55,1
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.6,1
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.65,2
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.7,2
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.75,2
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.8,3
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.85,3
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.9,4
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.95,5
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.975,7
2026-05-23,"02",1,"wk inc flu hosp",2026-05-30,"quantile",0.99,8
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.01,12
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.025,15
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.05,17
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.1,22
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.15,24
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.2,28
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.25,30
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.3,31
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.35,33
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.4,34
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.45,35
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.5,39
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.55,43
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.6,45
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.65,47
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.7,49
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.75,52
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.8,56
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.85,60
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.9,67
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.95,78
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.975,94
2026-05-23,"04",0,"wk inc flu hosp",2026-05-23,"quantile",0.99,109
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.01,7
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.025,11
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.05,14
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.1,18
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.15,20
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.2,22
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.25,23
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.3,26
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.35,27
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.4,29
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.45,31
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.5,34
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.55,41
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.6,44
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.65,46
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.7,48
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.75,51
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.8,55
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.85,60
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.9,70
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.95,81
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.975,98
2026-05-23,"04",1,"wk inc flu hosp",2026-05-30,"quantile",0.99,119
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.01,0
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.025,1
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.05,1
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.1,2
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.15,3
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.2,3
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.25,4
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.3,4
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.35,5
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.4,5
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.45,6
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.5,7
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.55,7
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.6,8
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.65,8
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.7,9
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.75,10
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.8,11
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.85,12
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.9,14
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.95,17
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.975,21
2026-05-23,"05",0,"wk inc flu hosp",2026-05-23,"quantile",0.99,28
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.01,0
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.025,0
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.05,1
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.1,2
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.15,2
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.2,3
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.25,3
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.3,3
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.35,4
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.4,5
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.45,5
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.5,6
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.55,7
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.6,8
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.65,8
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.7,9
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.75,10
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.8,11
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.85,13
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.9,15
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.95,18
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.975,22
2026-05-23,"05",1,"wk inc flu hosp",2026-05-30,"quantile",0.99,30
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.01,48
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.025,60
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.05,73
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.1,86
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.15,99
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.2,107
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.25,115
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.3,121
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.35,128
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.4,133
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.45,139
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.5,149
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.55,156
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.6,162
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.65,170
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.7,175
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.75,186
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.8,197
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.85,210
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.9,227
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.95,252
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.975,277
2026-05-23,"06",0,"wk inc flu hosp",2026-05-23,"quantile",0.99,319
2026-05-23,"06",1,"wk inc flu hosp",2026-05-30,"quantile",0.01,32
2026-05-23,"06",1,"wk inc flu hosp",2026-05-30,"quantile",0.025,45
2026-05-23,"06",1,"wk inc flu hosp",2026-05-30,"quantile",0.05,52
2026-05-23,"06",1,"wk inc flu hosp",2026-05-30,"quantile",0.1,65
2026-05-23,"06",1,"wk inc flu hosp",2026-05-30,"quantile",0.15,77
2026-05-23,"06",1,"wk inc flu hosp",2026-05-30,"quantile",0.2,89
2026-05-23,"06",1,"wk inc flu hosp",2026-05-30,"quantile",0.25,96
